FID	NAME	VALUE
0	CTime1	21.27
0	CTime2	41.85
0	CTime3	21.27
1	CTime2	41.80
1	CTime1	19.85
1	CTime3	19.86
2	CTime3	21.20
2	CTime1	21.19
2	CTime2	41.73
3	CTime2	41.82
3	CTime1	19.95
3	CTime3	19.95
4	CTime1	21.19
4	CTime2	41.82
4	CTime3	21.20
5	CTime2	41.80
5	CTime1	19.94
5	CTime3	19.94
6	CTime1	21.11
6	CTime2	41.73
6	CTime3	21.11
7	CTime2	41.69
7	CTime1	19.91
7	CTime3	19.91
8	CTime3	21.13
8	CTime1	21.12
8	CTime2	41.70
9	CTime3	19.96
9	CTime2	41.77
9	CTime1	19.96
10	CTime2	41.80
10	CTime1	21.15
10	CTime3	21.15
11	CTime3	19.93
11	CTime1	19.93
11	CTime2	41.77
12	CTime1	21.12
12	CTime2	41.72
12	CTime3	21.12
13	CTime1	19.54
13	CTime2	42.77
13	CTime3	19.54
14	CTime1	21.16
14	CTime2	42.82
14	CTime3	21.16
15	CTime3	22.18
15	CTime1	22.18
15	CTime2	44.02
16	CTime2	248.30
16	CTime1	20.93
16	CTime3	21.40
17	CTime1	19.99
17	CTime2	246.10
17	CTime3	19.99
18	CTime2	41.84
18	CTime1	21.17
18	CTime3	21.17
19	CTime3	20.62
19	CTime2	42.47
19	CTime1	20.62
20	CTime2	42.50
20	CTime1	21.20
20	CTime3	21.20
21	CTime3	19.86
21	CTime1	19.86
21	CTime2	41.74
22	CTime3	21.26
22	CTime1	21.25
22	CTime2	41.79
23	CTime2	41.87
23	CTime1	19.94
23	CTime3	19.95
24	CTime2	41.77
24	CTime1	21.15
24	CTime3	21.15
25	CTime3	19.85
25	CTime1	19.85
25	CTime2	41.68
26	CTime3	21.14
26	CTime2	41.66
26	CTime1	21.14
27	CTime3	19.90
27	CTime2	41.72
27	CTime1	19.90
28	CTime2	41.74
28	CTime1	21.15
28	CTime3	21.15
29	CTime3	19.94
29	CTime1	19.94
29	CTime2	41.77
30	CTime3	21.17
30	CTime2	41.79
30	CTime1	21.17
31	CTime2	41.77
31	CTime1	19.92
31	CTime3	19.92
32	CTime1	21.15
32	CTime2	41.76
32	CTime3	21.15
33	CTime1	19.46
33	CTime2	42.75
33	CTime3	19.46
34	CTime2	42.78
34	CTime1	21.19
34	CTime3	21.19
35	CTime2	41.49
35	CTime1	19.62
35	CTime3	19.62
36	CTime2	43.98
36	CTime1	21.30
36	CTime3	21.78
37	CTime3	20.45
37	CTime1	19.97
37	CTime2	45.52
38	CTime3	21.21
38	CTime2	43.05
38	CTime1	21.21
39	CTime1	19.92
39	CTime2	41.83
39	CTime3	19.92
40	CTime3	21.17
40	CTime2	41.81
40	CTime1	21.17
41	CTime3	19.82
41	CTime1	19.82
41	CTime2	41.70
42	CTime3	21.27
42	CTime2	41.79
42	CTime1	21.27
43	CTime3	20.02
43	CTime2	41.98
43	CTime1	20.01
44	CTime2	41.77
44	CTime1	21.06
44	CTime3	21.06
45	CTime1	19.92
45	CTime2	41.68
45	CTime3	19.92
46	CTime3	21.42
46	CTime1	20.95
46	CTime2	121.20
47	CTime3	20.09
47	CTime2	121.35
47	CTime1	19.97
48	CTime2	41.92
48	CTime1	21.16
48	CTime3	21.16
49	CTime2	41.76
49	CTime1	19.93
49	CTime3	19.93
50	CTime2	41.79
50	CTime1	21.20
50	CTime3	21.20
51	CTime2	41.76
51	CTime1	19.88
51	CTime3	19.88
52	CTime2	41.80
52	CTime1	21.24
52	CTime3	21.24
53	CTime3	19.49
53	CTime2	42.87
53	CTime1	19.49
54	CTime1	24.73
54	CTime2	46.35
54	CTime3	24.73
55	CTime3	19.93
55	CTime1	19.92
55	CTime2	45.35
56	CTime1	21.07
56	CTime2	41.69
56	CTime3	21.07
57	CTime2	41.47
57	CTime1	19.67
57	CTime3	19.68
58	CTime3	21.22
58	CTime2	41.61
58	CTime1	21.21
59	CTime3	19.97
59	CTime1	19.97
59	CTime2	41.88
60	CTime3	21.11
60	CTime1	21.11
60	CTime2	41.79
61	CTime3	20.05
61	CTime2	41.86
61	CTime1	20.05
62	CTime3	21.17
62	CTime2	41.90
62	CTime1	21.17
63	CTime3	19.84
63	CTime2	41.69
63	CTime1	19.84
64	CTime2	41.70
64	CTime1	21.19
64	CTime3	21.19
65	CTime3	19.94
65	CTime2	41.80
65	CTime1	19.93
66	CTime3	21.20
66	CTime1	21.20
66	CTime2	41.82
67	CTime3	19.91
67	CTime1	19.91
67	CTime2	41.79
68	CTime1	21.20
68	CTime2	41.79
68	CTime3	21.20
69	CTime3	19.83
69	CTime1	19.82
69	CTime2	41.70
70	CTime3	21.04
70	CTime2	41.55
70	CTime1	21.04
71	CTime3	20.70
71	CTime2	37.67
71	CTime1	20.70
72	CTime1	20.84
72	CTime2	239.55
72	CTime3	21.32
75	CTime2	214.88
75	CTime1	36.22
75	CTime3	37.50
76	CTime3	36.80
76	CTime2	252.07
76	CTime1	36.78
77	CTime3	21.37
77	CTime1	21.37
77	CTime2	58.91
78	CTime3	21.01
78	CTime2	43.08
78	CTime1	21.01
79	CTime3	20.53
79	CTime1	20.53
79	CTime2	62.10
80	CTime2	62.23
80	CTime1	21.13
80	CTime3	21.13
81	CTime3	22.16
81	CTime2	43.98
81	CTime1	22.16
82	CTime3	21.04
82	CTime1	21.04
82	CTime2	43.91
83	CTime1	21.33
83	CTime2	43.08
83	CTime3	21.33
84	CTime3	21.02
84	CTime1	21.02
84	CTime2	43.03
85	CTime3	21.29
85	CTime2	42.99
85	CTime1	21.29
86	CTime2	42.88
86	CTime1	20.91
86	CTime3	20.91
87	CTime3	21.37
87	CTime2	42.97
87	CTime1	21.37
88	CTime3	20.21
88	CTime1	20.20
88	CTime2	42.28
89	CTime1	21.36
89	CTime2	42.26
89	CTime3	21.36
90	CTime3	21.02
90	CTime1	21.02
90	CTime2	43.05
91	CTime3	21.30
91	CTime1	21.29
91	CTime2	43.01
92	CTime2	43.42
92	CTime1	21.43
92	CTime3	21.43
94	CTime3	568.00
94	CTime2	590.12
94	CTime1	568.00
96	CTime3	20.03
96	CTime1	20.03
96	CTime2	609.74
97	CTime3	18.96
97	CTime1	18.96
97	CTime2	62.58
98	CTime2	42.25
98	CTime1	20.71
98	CTime3	20.71
99	CTime1	19.44
99	CTime2	40.83
99	CTime3	19.44
100	CTime3	21.39
100	CTime1	21.39
100	CTime2	41.52
101	CTime3	19.36
101	CTime2	41.46
101	CTime1	19.36
102	CTime3	20.74
102	CTime2	40.80
102	CTime1	20.74
103	CTime3	19.45
103	CTime1	19.45
103	CTime2	40.89
105	CTime2	43.20
105	CTime1	23.05
105	CTime3	23.05
107	CTime2	43.17
107	CTime1	19.44
107	CTime3	19.44
108	CTime3	21.25
108	CTime1	21.25
108	CTime2	41.38
109	CTime2	41.35
109	CTime1	19.41
109	CTime3	19.42
110	CTime3	20.60
110	CTime2	40.69
110	CTime1	20.60
111	CTime3	19.48
111	CTime2	40.76
111	CTime1	19.48
112	CTime3	20.58
112	CTime2	40.74
112	CTime1	20.58
113	CTime1	19.47
113	CTime2	40.74
113	CTime3	19.47
114	CTime3	20.65
114	CTime2	40.80
114	CTime1	20.65
115	CTime1	19.47
115	CTime2	40.79
115	CTime3	19.47
116	CTime1	21.63
116	CTime2	41.78
116	CTime3	21.63
117	CTime2	41.77
117	CTime1	19.45
117	CTime3	19.45
118	CTime2	40.85
118	CTime1	20.71
118	CTime3	20.71
119	CTime1	19.23
119	CTime2	42.04
119	CTime3	19.23
120	CTime3	20.71
120	CTime1	20.71
120	CTime2	42.03
121	CTime2	40.84
121	CTime1	19.45
121	CTime3	19.45
122	CTime1	20.58
122	CTime2	40.71
122	CTime3	20.58
123	CTime3	19.36
123	CTime1	19.36
123	CTime2	40.61
124	CTime2	40.81
124	CTime1	20.77
124	CTime3	20.77
125	CTime3	19.48
125	CTime1	19.47
125	CTime2	40.93
126	CTime2	40.90
126	CTime1	20.74
126	CTime3	20.74
127	CTime1	18.81
127	CTime2	60.11
127	CTime3	18.81
128	CTime2	60.06
128	CTime1	20.70
128	CTime3	20.70
129	CTime1	19.44
129	CTime2	40.82
129	CTime3	19.44
130	CTime3	20.68
130	CTime1	20.68
130	CTime2	40.80
131	CTime3	19.49
131	CTime1	19.49
131	CTime2	40.87
132	CTime2	40.88
132	CTime1	20.70
132	CTime3	20.70
133	CTime2	40.87
133	CTime1	19.49
133	CTime3	19.49
134	CTime1	20.61
134	CTime2	40.77
134	CTime3	20.61
135	CTime3	19.49
135	CTime2	40.77
135	CTime1	19.49
136	CTime3	20.57
136	CTime2	40.74
136	CTime1	20.57
137	CTime3	19.49
137	CTime2	40.73
137	CTime1	19.49
138	CTime3	20.70
138	CTime2	40.87
138	CTime1	20.69
139	CTime3	19.04
139	CTime1	19.04
139	CTime2	41.86
140	CTime1	20.65
140	CTime2	41.79
140	CTime3	20.65
141	CTime2	51.65
141	CTime1	19.22
141	CTime3	19.70
142	CTime2	57.23
142	CTime1	20.62
142	CTime3	21.12
143	CTime3	19.48
143	CTime2	46.39
143	CTime1	19.48
144	CTime2	41.16
144	CTime1	21.00
144	CTime3	21.00
145	CTime3	19.46
145	CTime1	19.45
145	CTime2	41.15
146	CTime3	20.50
146	CTime1	20.50
146	CTime2	40.65
147	CTime2	40.67
147	CTime1	19.49
147	CTime3	19.50
148	CTime3	20.57
148	CTime1	20.57
148	CTime2	40.76
149	CTime1	19.42
149	CTime2	40.69
149	CTime3	19.42
151	CTime2	56.87
151	CTime1	22.47
151	CTime3	22.95
153	CTime3	19.40
153	CTime2	56.84
153	CTime1	19.40
154	CTime3	20.52
154	CTime2	40.61
154	CTime1	20.52
155	CTime2	41.16
155	CTime1	19.95
155	CTime3	19.95
156	CTime3	20.43
156	CTime2	41.07
156	CTime1	20.43
157	CTime3	19.46
157	CTime1	19.46
157	CTime2	40.58
158	CTime1	20.46
158	CTime2	40.60
158	CTime3	20.46
159	CTime3	19.49
159	CTime2	40.63
159	CTime1	19.48
160	CTime1	20.64
160	CTime2	40.82
160	CTime3	20.64
161	CTime3	19.86
161	CTime1	19.86
161	CTime2	42.61
162	CTime3	20.62
162	CTime1	20.62
162	CTime2	42.59
163	CTime2	40.83
163	CTime1	19.51
163	CTime3	19.51
164	CTime2	40.84
164	CTime1	20.63
164	CTime3	20.63
165	CTime3	19.46
165	CTime1	19.46
165	CTime2	40.77
166	CTime2	40.83
166	CTime1	20.68
166	CTime3	20.68
167	CTime1	19.32
167	CTime2	40.71
167	CTime3	19.32
168	CTime3	20.46
168	CTime1	20.46
168	CTime2	40.48
169	CTime3	19.45
169	CTime1	19.45
169	CTime2	40.62
170	CTime3	20.64
170	CTime1	20.64
170	CTime2	40.80
171	CTime3	19.38
171	CTime1	19.38
171	CTime2	40.69
172	CTime3	20.04
172	CTime2	60.09
172	CTime1	20.04
173	CTime3	19.48
173	CTime1	19.48
173	CTime2	60.23
174	CTime1	20.35
174	CTime2	97.89
174	CTime3	20.83
175	CTime2	97.91
175	CTime1	19.53
175	CTime3	19.53
176	CTime3	20.49
176	CTime1	20.49
176	CTime2	40.73
177	CTime3	23.29
177	CTime2	44.49
177	CTime1	23.29
178	CTime1	20.71
178	CTime2	44.71
178	CTime3	20.72
179	CTime3	19.47
179	CTime2	40.89
179	CTime1	19.47
180	CTime1	20.67
180	CTime2	40.83
180	CTime3	20.67
181	CTime3	19.14
181	CTime2	41.91
181	CTime1	19.14
183	CTime3	21.78
183	CTime1	21.78
183	CTime2	43.03
185	CTime3	19.47
185	CTime1	19.47
185	CTime2	41.95
186	CTime3	20.89
186	CTime2	41.05
186	CTime1	20.89
187	CTime1	19.50
187	CTime2	41.08
187	CTime3	19.50
188	CTime3	20.62
188	CTime1	20.62
188	CTime2	40.80
189	CTime3	19.51
189	CTime1	19.51
189	CTime2	40.82
190	CTime3	20.60
190	CTime2	40.80
190	CTime1	20.59
191	CTime3	19.48
191	CTime1	19.48
191	CTime2	40.78
192	CTime3	20.60
192	CTime2	40.76
192	CTime1	20.60
193	CTime3	19.57
193	CTime2	40.84
193	CTime1	19.57
194	CTime1	20.56
194	CTime2	40.82
194	CTime3	20.56
195	CTime2	40.76
195	CTime1	19.50
195	CTime3	19.50
196	CTime3	21.22
196	CTime2	41.49
196	CTime1	20.74
197	CTime1	19.46
197	CTime2	41.46
197	CTime3	19.46
198	CTime2	40.80
198	CTime1	20.64
198	CTime3	20.64
199	CTime2	40.79
199	CTime1	19.46
199	CTime3	19.46
200	CTime1	20.56
200	CTime2	40.72
200	CTime3	20.56
201	CTime3	19.54
201	CTime2	40.81
201	CTime1	19.54
202	CTime2	41.05
202	CTime1	20.82
202	CTime3	20.82
203	CTime2	42.12
203	CTime1	19.20
203	CTime3	19.20
204	CTime3	20.48
204	CTime1	20.48
204	CTime2	41.79
205	CTime2	40.60
205	CTime1	19.43
205	CTime3	19.43
206	CTime1	20.39
206	CTime2	62.41
206	CTime3	20.87
207	CTime2	62.37
207	CTime1	19.38
207	CTime3	19.38
208	CTime1	21.08
208	CTime2	41.16
208	CTime3	21.08
209	CTime2	41.27
209	CTime1	19.50
209	CTime3	19.50
210	CTime1	21.48
210	CTime2	41.66
210	CTime3	21.48
211	CTime3	19.54
211	CTime1	19.54
211	CTime2	41.70
212	CTime3	20.68
212	CTime2	40.91
212	CTime1	20.68
213	CTime3	19.19
213	CTime1	19.19
213	CTime2	40.56
214	CTime3	20.65
214	CTime1	20.64
214	CTime2	40.52
215	CTime1	19.48
215	CTime2	40.82
215	CTime3	19.48
216	CTime3	21.07
216	CTime1	20.58
216	CTime2	42.89
217	CTime3	19.56
217	CTime2	42.95
217	CTime1	19.56
218	CTime1	20.88
218	CTime2	41.11
218	CTime3	20.88
219	CTime3	19.44
219	CTime1	19.44
219	CTime2	40.99
220	CTime3	21.13
220	CTime1	20.65
220	CTime2	185.44
221	CTime3	20.12
221	CTime2	186.73
221	CTime1	19.64
222	CTime3	20.63
222	CTime1	20.63
222	CTime2	42.05
223	CTime3	19.69
223	CTime1	19.21
223	CTime2	42.61
224	CTime2	42.66
224	CTime1	20.66
224	CTime3	20.66
225	CTime3	20.05
225	CTime2	41.42
225	CTime1	19.57
226	CTime3	20.64
226	CTime2	41.39
226	CTime1	20.64
227	CTime3	19.94
227	CTime2	41.27
227	CTime1	19.53
228	CTime1	20.46
228	CTime2	41.08
228	CTime3	20.46
229	CTime2	65.49
229	CTime1	18.89
229	CTime3	18.89
230	CTime3	21.01
230	CTime2	66.05
230	CTime1	21.01
231	CTime1	19.46
231	CTime2	41.17
231	CTime3	19.46
232	CTime3	20.62
232	CTime2	40.78
232	CTime1	20.62
233	CTime3	19.53
233	CTime1	19.52
233	CTime2	40.83
234	CTime2	551.31
234	CTime1	20.12
234	CTime3	20.12
235	CTime2	551.16
235	CTime1	19.37
235	CTime3	19.37
236	CTime3	20.58
236	CTime1	20.58
236	CTime2	40.64
237	CTime1	19.44
237	CTime2	40.70
237	CTime3	19.44
238	CTime3	20.66
238	CTime1	20.66
238	CTime2	40.78
239	CTime3	19.47
239	CTime1	19.46
239	CTime2	40.81
240	CTime3	20.58
240	CTime1	20.58
240	CTime2	40.73
241	CTime3	19.44
241	CTime2	40.69
241	CTime1	19.44
242	CTime3	20.67
242	CTime2	40.78
242	CTime1	20.67
243	CTime3	19.03
243	CTime1	19.03
243	CTime2	41.80
244	CTime3	20.68
244	CTime2	41.81
244	CTime1	20.68
245	CTime3	19.42
245	CTime1	19.42
245	CTime2	40.79
246	CTime3	20.70
246	CTime1	20.70
246	CTime2	40.82
247	CTime3	19.47
247	CTime2	40.86
247	CTime1	19.47
248	CTime1	20.61
248	CTime2	40.77
248	CTime3	20.61
249	CTime3	19.36
249	CTime1	19.36
249	CTime2	40.66
250	CTime2	44.88
250	CTime1	24.85
250	CTime3	24.85
251	CTime3	19.58
251	CTime1	19.58
251	CTime2	45.10
252	CTime1	20.47
252	CTime2	40.73
252	CTime3	20.47
253	CTime2	40.72
253	CTime1	19.57
253	CTime3	19.57
254	CTime3	20.71
254	CTime2	40.97
254	CTime1	20.71
255	CTime3	19.55
255	CTime2	40.95
255	CTime1	19.55
256	CTime3	20.59
256	CTime2	40.84
256	CTime1	20.59
257	CTime3	19.50
257	CTime2	40.79
257	CTime1	19.50
258	CTime1	20.57
258	CTime2	40.76
258	CTime3	20.57
259	CTime2	40.77
259	CTime1	19.52
259	CTime3	19.53
260	CTime3	20.64
260	CTime2	40.85
260	CTime1	20.64
261	CTime2	40.85
261	CTime1	19.52
261	CTime3	19.52
262	CTime3	20.58
262	CTime2	40.78
262	CTime1	20.58
263	CTime2	41.76
263	CTime1	19.08
263	CTime3	19.08
264	CTime2	41.73
264	CTime1	20.54
264	CTime3	20.54
265	CTime2	40.75
265	CTime1	19.51
265	CTime3	19.52
266	CTime3	21.64
266	CTime2	162.20
266	CTime1	21.14
267	CTime3	19.41
267	CTime2	162.10
267	CTime1	19.41
268	CTime2	39.52
268	CTime1	19.43
268	CTime3	19.43
269	CTime1	19.39
269	CTime2	39.49
269	CTime3	19.39
270	CTime3	20.41
270	CTime2	40.49
270	CTime1	20.41
271	CTime3	19.52
271	CTime2	40.63
271	CTime1	19.52
272	CTime2	40.77
272	CTime1	20.55
272	CTime3	20.55
273	CTime2	40.72
273	CTime1	19.48
273	CTime3	19.48
274	CTime3	20.58
274	CTime2	40.73
274	CTime1	20.58
275	CTime2	40.76
275	CTime1	19.49
275	CTime3	19.49
276	CTime1	41.00
276	CTime2	65.35
276	CTime3	41.48
277	CTime2	69.27
277	CTime1	23.39
277	CTime3	23.39
278	CTime3	20.80
278	CTime2	44.90
278	CTime1	20.80
279	CTime3	20.78
279	CTime1	20.78
279	CTime2	42.26
280	CTime3	21.13
280	CTime2	42.60
280	CTime1	21.13
281	CTime3	20.94
281	CTime2	42.77
281	CTime1	20.94
282	CTime2	42.59
282	CTime1	20.95
282	CTime3	20.95
285	CTime3	37.69
285	CTime1	36.74
285	CTime2	89.63
286	CTime2	126.97
286	CTime1	36.94
286	CTime3	36.96
287	CTime1	20.38
287	CTime2	341.14
287	CTime3	20.38
288	CTime3	22.60
288	CTime1	22.60
288	CTime2	401.42
289	CTime2	44.41
289	CTime1	21.12
289	CTime3	21.12
290	CTime2	45.58
290	CTime1	23.77
290	CTime3	23.77
291	CTime3	21.08
291	CTime1	21.08
291	CTime2	45.54
292	CTime2	43.43
292	CTime1	21.67
292	CTime3	21.67
293	CTime2	43.38
293	CTime1	21.04
293	CTime3	21.04
294	CTime3	21.54
294	CTime2	43.25
294	CTime1	21.53
295	CTime3	21.09
295	CTime2	43.30
295	CTime1	21.09
296	CTime1	22.34
296	CTime2	44.10
296	CTime3	22.34
297	CTime2	44.23
297	CTime1	21.22
297	CTime3	21.22
299	CTime3	23.39
299	CTime1	23.39
299	CTime2	45.29
301	CTime3	21.13
301	CTime2	45.20
301	CTime1	21.13
302	CTime3	21.58
302	CTime1	21.58
302	CTime2	43.40
303	CTime3	20.99
303	CTime2	43.26
303	CTime1	20.99
304	CTime2	43.41
304	CTime1	21.73
304	CTime3	21.73
305	CTime3	21.04
305	CTime1	21.04
305	CTime2	43.45
306	CTime1	21.90
306	CTime2	43.62
306	CTime3	21.90
307	CTime2	44.65
307	CTime1	20.65
307	CTime3	20.66
308	CTime3	23.81
308	CTime1	23.81
308	CTime2	46.55
309	CTime2	45.58
309	CTime1	21.09
309	CTime3	21.09
310	CTime1	21.72
310	CTime2	43.50
310	CTime3	21.72
312	CTime3	23.37
312	CTime1	23.37
312	CTime2	45.79
314	CTime3	21.80
314	CTime2	45.87
314	CTime1	21.79
315	CTime2	45.19
315	CTime1	22.70
315	CTime3	22.70
316	CTime3	21.39
316	CTime2	44.77
316	CTime1	21.39
317	CTime3	20.98
317	CTime2	43.03
317	CTime1	20.98
318	CTime2	43.06
318	CTime1	21.40
318	CTime3	21.40
319	CTime2	205.58
319	CTime1	20.85
319	CTime3	21.28
320	CTime2	248.66
320	CTime1	21.00
320	CTime3	21.00
321	CTime1	21.52
321	CTime2	43.20
321	CTime3	21.52
322	CTime1	20.88
322	CTime2	43.10
322	CTime3	20.88
323	CTime2	43.06
323	CTime1	21.49
323	CTime3	21.49
324	CTime2	45.69
324	CTime1	23.52
324	CTime3	23.52
325	CTime2	45.52
325	CTime1	21.32
325	CTime3	21.32
326	CTime3	21.10
326	CTime2	43.10
326	CTime1	21.10
327	CTime3	21.38
327	CTime2	43.18
327	CTime1	21.38
328	CTime3	21.19
328	CTime1	21.19
328	CTime2	43.26
329	CTime3	21.12
329	CTime2	44.53
