,pcbid,fadd,fsadd,fblkserial,hd,hdd,ref,size,rcgx,rcgy,rcga,tcx,tcy,thmax,thave,tcx,tcy,tca,tlx,tly,ms,class,confidence
0,101633501773,20011,1,FA0210ADF403943,13,215,C1637,1.28,0.009,0.006,0.648,0.119,0.190,0.023,0.014,0.119,0.190,0.717,0.056,0.030,6.0,0,0.0
1,101633501773,20011,1,FA0210ALF464308,3,223,FL150,1.28,0.150,0.055,0.45,0.504,0.356,0.025,0.002,0.504,0.356,0.25899999999998613,0.000,0.000,2.0,0,2.896817748505396e-32
2,101633501773,20011,1,FA0210ALF464308,6,226,FL906,1.28,0.069,0.028,0.173,0.342,0.106,0.002,0.016,0.342,0.106,0.020000000000010232,0.015,0.003,2.0,0,0.0
3,101633501773,20011,1,FA0210ALF464308,8,228,R1657,1.28,0.011,0.032,0.612,0.213,0.250,0.018,0.004,0.213,0.250,0.405,0.043,0.025,2.0,0,0.0
4,101633501773,20011,1,FA0210ALF464308,9,211,FL905,1.28,0.006,0.046,0.645,0.259,0.021,0.020,0.005,0.259,0.021,0.464,0.011,0.015,13.0,0,0.0
5,101633501773,20011,1,FA0210ALF464308,11,213,FL702,1.28,0.100,0.059,0.336,0.125,0.316,0.050,0.032,0.125,0.316,0.548,0.042,0.033,8.0,0,0.0
6,101633501773,20011,1,FA0210ALF464308,12,214,FL907,1.28,0.113,0.012,0.862,0.165,0.096,0.039,0.020,0.165,0.096,1.045,0.011,0.015,14.0,0,0.0
7,101633501773,20011,1,FA0210BAA453471,3,223,R305,0.5,0.033,0.007,0.066,0.547,0.146,0.016,0.045,0.547,0.146,0.05,0.158,0.048,6.0,0,0.0
8,101633501773,20011,1,FA0210BAA453471,7,227,R212,0.5,0.034,0.023,2.167,0.615,0.135,0.003,0.030,0.615,0.135,2.178,0.175,0.049,8.0,0,0.0
9,101633501773,20011,1,FA0210BAA453471,11,213,R213,0.5,0.034,0.005,0.423,0.632,0.197,0.004,0.022,0.632,0.197,0.413,0.158,0.048,10.0,0,0.0
10,101633501773,20011,1,FA0210BAA453471,12,214,R304,0.5,0.033,0.045,3.249,0.586,0.207,0.000,0.023,0.586,0.207,3.241,0.175,0.049,12.0,0,0.0
11,101633501773,20011,2,FA0210ADF403943,4,224,R1658,0.5,0.026,0.016,4.71,0.127,0.128,0.047,0.010,0.127,0.128,4.628999999999991,0.321,0.034,5.0,0,3.330233180050565e-35
12,101633501773,20011,2,FA0210ADF403943,4,224,R992,0.5,0.005,0.016,7.434,0.098,0.096,0.057,0.021,0.098,0.096,7.353000000000009,0.330,0.021,4.0,0,1.200047371525653e-31
13,101633501773,20011,2,FA0210ADF403943,6,226,R485,0.5,0.101,0.109,1.103,0.110,0.217,0.057,0.016,0.110,0.217,1.0149999999999864,0.308,0.007,9.0,0,0.0
14,101633501773,20011,2,FA0210ADF403943,6,226,R855,0.5,0.022,0.038,1.783,0.062,0.242,0.045,0.016,0.062,0.242,1.739,0.290,0.026,3.0,0,0.0
15,101633501773,20011,2,FA0210ADF403943,6,226,R994,0.5,0.095,0.006,3.004,0.144,0.032,0.040,0.005,0.144,0.032,2.916,0.305,0.036,1.0,1,1.0
16,101633501485,10016,1,FA0210ALF403215,9,131,R700,2.4,0.117,0.021,1.655,0.666,0.110,0.000,0.000,0.666,0.110,1.572,0.486,0.115,2.0,0,0.0
17,101633501485,10016,1,FA0210AWA450567,3,123,X601,8.0,0.175,0.137,0.477,0.585,0.204,0.000,0.000,0.585,0.204,0.327,0.000,0.000,1.0,0,0.0
18,101633501485,10016,1,FA0210AZA466800,4,124,R871,0.5,0.007,0.025,0.082,0.064,0.412,0.012,0.043,0.064,0.412,0.075,0.362,0.079,13.0,0,0.0
19,101633501485,10016,2,FA0210ALF403215,2,142,C124,2.4,0.200,0.017,0.583,0.507,0.453,0.000,0.000,0.507,0.453,0.652,0.000,0.000,9.0,0,0.0
20,101633501485,10016,2,FA0210ALF403215,10,132,C121,2.4,0.278,0.007,1.894,0.570,0.054,0.000,0.000,0.570,0.054,1.812,0.052,0.026,10.0,0,0.0
21,101633501485,10016,2,FA0210AWA450567,2,122,D709,3.0,0.067,0.007,3.153,0.297,0.369,0.000,0.000,0.297,0.369,3.282,0.002,0.278,6.0,0,0.0
22,101633501485,10016,2,FA0210AZA466800,9,111,R872,0.5,0.094,0.026,5.841,0.027,0.312,0.011,0.030,0.027,0.312,5.839,0.527,0.032,14.0,0,0.0
23,101633501485,10017,0,FA0440ADF302147,3,113,CN906,133.76,0.040,1.012,0.22700000000000387,0.323,1.498,0.000,0.000,0.323,1.498,0.156,0.202,0.045,3.0,0,0.0
24,101633501485,10017,1,FA0210ACA404014,1,121,R405,0.5,0.089,0.011,10.902,0.048,0.259,0.037,0.011,0.048,0.259,10.97,0.422,0.119,1.0,1,1.0
25,101633501485,10017,1,FA0210ACA404014,9,111,R606,0.5,0.050,0.010,9.418,0.114,0.177,0.035,0.018,0.114,0.177,9.479000000000013,0.422,0.119,4.0,0,5.376921308597833e-18
26,101633501485,10017,1,FA0210AFF440430,1,121,R814,1.28,0.034,0.053,4.52,0.064,0.343,0.007,0.005,0.064,0.343,4.512,0.121,0.154,1.0,0,0.0
27,101633501485,10017,1,FA0210AFF440430,15,117,R813,1.28,0.046,0.049,1.359,0.041,0.398,0.025,0.011,0.041,0.398,1.3590000000000089,0.121,0.154,3.0,0,0.0
28,101633501485,10017,1,FA0210AJF400500,3,143,L1006,2.4,0.157,0.029,0.128,0.373,0.320,0.000,0.000,0.373,0.320,0.019,0.000,0.000,8.0,0,0.0
29,101633501485,10017,1,FA0210ALF463767,2,122,C112,2.28,0.113,0.303,1.027,0.587,0.333,0.000,0.000,0.587,0.333,1.156000000000006,0.023,0.504,7.0,0,0.0
30,101633501381,10021,2,FA0210AZA467043,4,144,C734,2.4,0.050,0.054,1.289,0.765,0.301,0.000,0.000,0.765,0.301,1.302,0.278,0.060,5.0,0,0.0
31,101633501381,10021,2,FA0210AZA467043,4,144,C734,2.4,0.155,0.033,1.45,0.356,0.160,0.000,0.000,0.356,0.160,1.48,0.139,0.086,5.0,0,0.0
32,101633501381,10021,2,FA0210AZA467043,6,146,C735,2.4,0.037,0.013,1.056,0.279,0.048,0.000,0.000,0.279,0.048,1.0449999999999875,0.139,0.086,2.0,0,0.0
33,101633501381,10021,2,FA0210AZA467043,6,146,C735,2.4,0.202,0.119,6.46,0.653,0.519,0.000,0.000,0.653,0.519,6.4879999999999995,0.278,0.060,2.0,0,3.6996912634397635e-32
34,101633501381,10021,2,FA0210AZA467043,6,146,C761,2.4,0.140,0.025,0.121,0.826,0.202,0.000,0.000,0.826,0.202,0.114,0.236,0.053,13.0,0,0.0
35,101633501381,10021,2,FA0210AZA467043,6,146,C761,2.4,0.217,0.034,0.599,0.417,0.226,0.000,0.000,0.417,0.226,0.623,0.181,0.090,13.0,0,0.0
36,101633501381,10021,2,FA0210AZA467043,8,148,C502,2.4,0.178,0.058,1.581,0.172,0.068,0.000,0.000,0.172,0.068,1.571,0.181,0.090,15.0,0,0.0
37,101633501381,10021,2,FA0210AZA467043,8,148,C502,2.4,0.089,0.004,3.325,0.742,0.357,0.000,0.000,0.742,0.357,3.352,0.236,0.053,15.0,0,0.0
38,101633501381,10021,2,FA0210AZA467043,8,148,C763,2.4,0.056,0.020,0.545,0.400,0.010,0.000,0.000,0.400,0.010,0.5289999999999964,0.139,0.086,1.0,0,0.0
39,101633501381,10021,2,FA0210AZA467043,8,148,C763,2.4,0.099,0.020,1.284,0.713,0.330,0.000,0.000,0.713,0.330,1.2510000000000048,0.278,0.060,1.0,0,2.5192445319585876e-35
40,101633501381,10021,2,FA0210AZA467043,14,136,C722,2.4,0.057,0.043,0.47,0.371,0.049,0.000,0.000,0.371,0.049,0.483,0.139,0.086,4.0,0,0.0
41,101633501381,10021,2,FA0210AZA467043,14,136,C722,2.4,0.132,0.053,0.413,0.790,0.484,0.000,0.000,0.790,0.484,0.409,0.278,0.060,4.0,0,0.0
42,101633501381,10021,2,FA0210AZA467043,14,136,C727,2.4,0.173,0.054,2.962,0.818,0.218,0.000,0.000,0.818,0.218,2.9579999999999984,0.236,0.053,14.0,0,0.0
43,101633501381,10021,2,FA0210AZA467043,14,136,C727,2.4,0.186,0.087,0.524,0.382,0.165,0.000,0.000,0.382,0.165,0.5370000000000061,0.181,0.090,14.0,0,0.0
